"año","mes","dia","cantidad","venta"
2018,4,22,447.1,268954.4
2019,1,24,107.1,68322.8
2018,11,2,102,65968.5
2017,7,2,232.5,138438
2018,1,21,195.5,116651.6
2019,3,19,74.8,47827
2017,2,6,745.5,356431.2
2017,8,21,769.5,396122.4
2018,7,15,307.7,175717.1
2018,12,21,231.2,137686.9
2018,2,24,433.5,269573.2
2019,2,26,306,158886
2017,5,22,558,337806
2019,3,19,215.9,137566
2018,5,23,300.9,186377.1
2018,2,23,164.9,102831.3
2019,1,26,2927.4,1250395.9
2017,7,2,237,140766
2018,1,21,314.5,187493.8
2018,10,24,103.7,66389.7
2017,11,15,427.5,266418
2017,8,22,559.5,307974
2018,9,25,275.4,154680.5
2017,9,22,199.5,127680
2017,8,21,486,258765.6
2017,5,23,315,193605.6
2017,1,19,490.5,246274.8
2017,2,10,303,179133.6
2018,1,22,459,258580.4
2019,1,24,345.1,222653.6
2017,11,16,319.5,199112.4
2017,6,28,280.5,166476
2018,10,25,236.3,150733.7
2018,7,16,336.6,184440.1
2018,6,17,149.6,93693.6
2017,2,1,937.5,483481.2
2017,3,22,367.5,202448.4
2019,3,20,200.6,128174.8
2017,8,22,523.5,288972
2018,2,25,360.4,222558.7
2019,1,25,3296.3,1402388
2017,9,22,381,243840
2017,10,20,372,235104
2017,4,22,310.5,192510
2017,4,22,634.5,393157.2
2018,9,26,217.6,138763.3
2017,5,23,552,342240
2018,10,25,76.5,49078.9
2018,5,23,413.1,256010.3
2018,11,21,763.3,345712.9
2018,7,16,453.9,253409
2018,6,17,377.4,236363.4
2017,6,27,376.5,223602
2019,2,27,613.7,318654.7
2017,8,23,369,203623.2
2018,12,21,297.5,182621.4
2017,2,1,352.5,180204
2017,3,22,562.5,312054
2018,4,18,399.5,237350.1
2017,5,24,274.5,170190
2018,11,20,287.3,146023.8
2019,3,2,314.5,164322.6
2017,1,20,1495.5,722187.6
2017,3,23,441,245137.2
2017,11,15,154.5,96284.4
2019,2,27,443.7,230384.7
2017,8,23,411,226872
2018,4,24,266.9,158403.7
2017,1,2,334.5,182112
2018,2,25,260.1,162232.2
2019,3,20,105.4,68214.9
2017,10,21,216,136836
2018,5,24,282.2,175175
2019,1,27,1779.9,759401.5
2018,11,20,748,381331.6
2018,10,26,95.2,60310.9
2018,6,18,370.6,225992
2017,6,28,367.5,218274
2018,3,18,705.5,379190.5
2017,11,16,205.5,128067.6
2019,3,2,566.1,295717.5
2018,12,22,295.8,177282.3
2017,3,24,313.5,172849.2
2017,2,10,207,122378.4
2017,9,23,319.5,204480
2018,4,25,295.8,178438
2018,1,23,382.5,227154.2
2017,10,22,334.5,211728
2017,7,20,312,199680
2018,10,27,130.9,84069.7
2017,1,2,309,159652.8
2019,1,25,8503.4,3632228.6
